economy,YR2019
BGR,75.97000122
EST,82.11000061
HUN,72.91000366
LTU,83.33999634
LVA,85.61000061
MDA,71.98000336
POL,80.44999695
ROU,82.55999756
RUS,67.06999969
UKR,67.69000244
