economy,SE.TER.ENRR
BGR,73.3791732788086
EST,74.2319869995117
HUN,52.4446487426758
LTU,72.0089721679688
LVA,94.8645324707031
MDA,56.2715110778809
POL,69.1840286254883
ROU,51.3538208007813
RUS,86.400146484375
UKR,
