economy,YR2020,YR2021
BGR,,98.6900024414063
EST,,99.870002746582
HUN,,99.0999984741211
LTU,,99.8099975585938
LVA,,99.8600006103516
MDA,,99.6999969482422
POL,,99.8000030517578
ROU,,99.0999984741211
RUS,99.6999969482422,
UKR,,100.0
