economy,YR2020,YR2021
BGR,,98.1699981689453
EST,,99.879997253418
HUN,,99.0999984741211
LTU,,99.8499984741211
LVA,,99.9100036621094
MDA,,99.5
POL,,99.8000030517578
ROU,,98.6999969482422
RUS,99.6999969482422,
UKR,,100.0
